product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/fabbmate-casual-sports-shoes-white-sneakers-women-girls/p/itma5fcb289f70ae?pid=SHOHF5MMWFRWCGVA&lid=LSTSHOHF5MMWFRWCGVANKZBU3&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_2Pfo5qeSMLVLBD0cMEyPkDwlwPTqCXSxHQ0uTdN4XIAkVcqW-nR5411Hq4QQY_s1m7n0rMrwTPtSH5TZa-RDoQ%3D%3D&ppt=None&ppn=None&ssid=t2jz76duog0000001752608720130&qH=32e27b1148959538,Fabbmate Casual Sports shoes White Sneakers for Women Girls White Shoes Sneakers For Women,Fabbmate ,467,0.53,4,9901
https://www.flipkart.com/vokline-women-sports-shoes-running-shoes-trekking-shoes-gym-shoes-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKG5MMHGVC7&lid=LSTSHOGBSKG5MMHGVC7WFD6HM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_2Pfo5qeSMLVLBD0cMEyPkDwlwPTqCXSxHQ0uTdN4XIBBwbnY7QC4HEKsqscOUWmnRzwqw1b73zGmuZ3CBMejmg%3D%3D&ppt=None&ppn=None&ssid=t2jz76duog0000001752608720130&qH=32e27b1148959538,"Women sports shoes,Running shoes,Trekking Shoes,gym shoes for women Outdoors For Women",Vokline ,350,0.64,4.1,131206
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-pink-jogging-walking-gym-party/p/itmfgnquqjghwjzc?pid=SHOEEF3QZSZZY6HK&lid=LSTSHOEEF3QZSZZY6HKSREXZ0&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=a3057750-7512-410d-868b-d448a10117b7.SHOEEF3QZSZZY6HK.SEARCH&ppt=None&ppn=None&ssid=t2jz76duog0000001752608720130&qH=32e27b1148959538,"Cute sports shoes for women | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Lace up Lightweight pink shoes for jogging, walking, gym & party Running Shoes For Women",asian ,709,0.11,4.2,92379
https://www.flipkart.com/jqr-vera-running-shoes-women/p/itm98df8009f4913?pid=SHOHAY2FVNEF9YRG&lid=LSTSHOHAY2FVNEF9YRGCU35YV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=a3057750-7512-410d-868b-d448a10117b7.SHOHAY2FVNEF9YRG.SEARCH&ppt=None&ppn=None&ssid=t2jz76duog0000001752608720130&qH=32e27b1148959538,VERA Running Shoes For Women,JQR ,1359,0.15,,
https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm814059bda311c?pid=SHOH5GCYGUFMGHSM&lid=LSTSHOH5GCYGUFMGHSMQCKSNF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=en_2Pfo5qeSMLVLBD0cMEyPkDwlwPTqCXSxHQ0uTdN4XIDVInpIp6a_nCc3E52MfnDg79b9FEy1IrnmB16G2yBY2g%3D%3D&ppt=None&ppn=None&ssid=t2jz76duog0000001752608720130&qH=32e27b1148959538,Trendy Sports Running Shoes For Women,Footox ,395,0.6,3.8,1123
https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm4e0e244fc79ac?pid=SHOH5GCYXHN6CYUF&lid=LSTSHOH5GCYXHN6CYUFYJ6RHV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_2Pfo5qeSMLVLBD0cMEyPkDwlwPTqCXSxHQ0uTdN4XICai1NFdXgwHALE6qnbSetk5MrXemLp68pSar9SmiedPA%3D%3D&ppt=None&ppn=None&ssid=t2jz76duog0000001752608720130&qH=32e27b1148959538,Trendy Sports Running Shoes For Women,Footox ,460,0.53,3.5,433
https://www.flipkart.com/apippo-casuals-women/p/itmb2b297a4f1f84?pid=SHOGTMVZWPWZWGHC&lid=LSTSHOGTMVZWPWZWGHCSC8PY2&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=a3057750-7512-410d-868b-d448a10117b7.SHOGTMVZWPWZWGHC.SEARCH&ppt=None&ppn=None&ssid=t2jz76duog0000001752608720130&qH=32e27b1148959538,Casuals For Women,APIPPO ,799,0.2,3.8,5
https://www.flipkart.com/house-common-hoc-m7-202-dailywear-sneakers-women/p/itmb137d5c4516ce?pid=SHOHDNM2FYYGV9XK&lid=LSTSHOHDNM2FYYGV9XKTVP3TJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=a3057750-7512-410d-868b-d448a10117b7.SHOHDNM2FYYGV9XK.SEARCH&ppt=None&ppn=None&ssid=t2jz76duog0000001752608720130&qH=32e27b1148959538,HOC M7-202 Dailywear Sneakers For Women,house of common ,447,0.81,,
https://www.flipkart.com/free-kicks-m7-301-comfortable-sneakers-women/p/itm14b96beeece40?pid=SHOHDNJA3HCHFAGJ&lid=LSTSHOHDNJA3HCHFAGJ6U1OEY&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=a3057750-7512-410d-868b-d448a10117b7.SHOHDNJA3HCHFAGJ.SEARCH&ppt=None&ppn=None&ssid=t2jz76duog0000001752608720130&qH=32e27b1148959538,Free Kicks M7-301 Comfortable Sneakers For Women,Free Kicks ,539,0.77,,
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBT6ZTMUDH&lid=LSTSHOGPDFBT6ZTMUDHEB3NFT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_FkPickId_osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=a3057750-7512-410d-868b-d448a10117b7.SHOGPDFBT6ZTMUDH.SEARCH&ppt=None&ppn=None&ssid=t2jz76duog0000001752608720130&qH=32e27b1148959538,"Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,826,0.21,4.2,92379
